year,scenario,carbon_price_usd_per_tco2
2025,STEPS,25.0
2026,STEPS,28.0
2027,STEPS,31.0
2028,STEPS,34.0
2029,STEPS,37.0
2030,STEPS,40.0
2031,STEPS,43.0
2032,STEPS,46.0
2033,STEPS,49.0
2034,STEPS,52.0
2035,STEPS,55.0
2036,STEPS,58.0
2037,STEPS,61.0
2038,STEPS,64.0
2039,STEPS,67.0
2040,STEPS,70.0
2041,STEPS,73.0
2042,STEPS,76.0
2043,STEPS,79.0
2044,STEPS,82.0
2045,STEPS,85.0
2046,STEPS,88.0
2047,STEPS,91.0
2048,STEPS,94.0
2049,STEPS,97.0
2050,STEPS,100.0
2025,NZE,50.0
2026,NZE,56.0
2027,NZE,62.0
2028,NZE,68.0
2029,NZE,74.0
2030,NZE,80.0
2031,NZE,86.0
2032,NZE,92.0
2033,NZE,98.0
2034,NZE,104.0
2035,NZE,110.0
2036,NZE,116.0
2037,NZE,122.0
2038,NZE,128.0
2039,NZE,134.0
2040,NZE,140.0
2041,NZE,146.0
2042,NZE,152.0
2043,NZE,158.0
2044,NZE,164.0
2045,NZE,170.0
2046,NZE,176.0
2047,NZE,182.0
2048,NZE,188.0
2049,NZE,194.0
2050,NZE,200.0
